"","SG_PARTIDO","DT_PAGAMENTO","VR_PAGAMENTO"
"164","DEM","27/08/2018",2452
"165","DEM","27/09/2018",2840
"166","DEM","27/12/2018",1384
"167","DEM","28/02/2018",9491
"168","DEM","28/03/2018",23066
"169","DEM","28/05/2018",11057
"170","DEM","28/06/2018",13185
"171","DEM","28/08/2018",12773
"172","DEM","28/09/2018",5430
"173","DEM","28/11/2018",12989
"174","DEM","29/01/2018",2384
"175","DEM","29/03/2018",4
"176","DEM","29/05/2018",16628
"177","DEM","29/06/2018",2456
"178","DEM","29/08/2018",5147
"179","DEM","29/10/2018",5717
"180","DEM","29/11/2018",23912
"181","DEM","30/01/2018",15186
"182","DEM","30/04/2018",3698
"183","DEM","30/05/2018",4290
"184","DEM","30/08/2018",318
"185","DEM","30/09/2018",2213
"186","DEM","30/10/2018",24857
"187","DEM","30/11/2018",2769
"188","DEM","31/01/2018",3284
"189","DEM","31/03/2018",316
"190","DEM","31/05/2018",1546
"191","DEM","31/07/2018",2544
"192","DEM","31/08/2018",2865
"193","DEM","31/10/2018",1218
"194","DEM","31/12/2017",44
"195","DEM","31/12/2018",12259
"196","MDB","01/02/2018",5330
"197","MDB","01/03/2018",10534
"198","MDB","01/04/2018",2675
"199","MDB","01/05/2018",940
"200","MDB","01/06/2018",8350
"201","MDB","01/07/2018",4510
"202","MDB","01/08/2018",11737
"203","MDB","01/09/2018",978
"204","MDB","01/10/2018",7833
"205","MDB","01/11/2018",6459
"206","MDB","02/01/2018",8785
"207","MDB","02/02/2018",5476
"208","MDB","02/03/2018",4721
"209","MDB","02/04/2018",3165
"210","MDB","02/05/2018",8840
"211","MDB","02/07/2018",10352
"212","MDB","02/08/2018",13802
"213","MDB","02/10/2018",9150
"214","MDB","03/01/2018",12789
"215","MDB","03/04/2018",9839
"216","MDB","03/05/2018",12214
"217","MDB","03/07/2018",11293
"218","MDB","03/08/2018",7856
"219","MDB","03/09/2018",10914
"220","MDB","03/10/2018",18047
"221","MDB","03/12/2018",9546
"222","MDB","04/01/2018",4539
"223","MDB","04/04/2018",10740
"224","MDB","04/05/2018",5241
"225","MDB","04/06/2018",7244
"226","MDB","04/07/2018",4166
"227","MDB","04/08/2018",1685
"228","MDB","04/09/2018",17160
"229","MDB","04/10/2018",10706
