"","gender","year","cs","de","se","th","Total"
"153","M",2005,0,0,1,0,663
"154","M",2005,0,1,0,0,1416
"155","M",2005,1,0,0,0,6098
"156","M",2005,1,0,0,1,432
"157","M",2005,1,0,1,0,59
"158","M",2005,1,1,0,0,521
"159","M",2006,0,0,0,1,1746
"160","M",2006,0,0,1,0,586
"161","M",2006,0,1,0,0,1594
"162","M",2006,1,0,0,0,5871
"163","M",2006,1,0,0,1,443
"164","M",2006,1,0,1,0,61
"165","M",2006,1,1,0,0,455
"166","M",2007,0,0,0,1,1912
"167","M",2007,0,0,1,0,608
"168","M",2007,0,1,0,0,1634
"169","M",2007,1,0,0,0,7732
"170","M",2007,1,0,0,1,443
"171","M",2007,1,0,1,0,61
"172","M",2007,1,1,0,0,541
"173","M",2008,0,0,0,1,1949
"174","M",2008,0,0,1,0,746
"175","M",2008,0,1,0,0,1808
"176","M",2008,1,0,0,0,6912
"177","M",2008,1,0,0,1,474
"178","M",2008,1,0,1,0,70
"179","M",2008,1,1,0,0,834
"180","M",2009,0,0,0,1,1827
"181","M",2009,0,0,1,0,773
"182","M",2009,0,1,0,0,1602
"183","M",2009,1,0,0,0,7656
"184","M",2009,1,0,0,1,456
"185","M",2009,1,0,1,0,54
"186","M",2009,1,1,0,0,806
"187","M",2010,0,0,0,1,2068
"188","M",2010,0,0,1,0,707
"189","M",2010,0,1,0,0,1811
"190","M",2010,1,0,0,0,7357
"191","M",2010,1,0,0,1,470
"192","M",2010,1,0,1,0,48
"193","M",2010,1,1,0,0,915
"194","M",2011,0,0,0,1,1767
"195","M",2011,0,0,1,0,772
"196","M",2011,0,1,0,0,1675
"197","M",2011,1,0,0,0,10101
"198","M",2011,1,0,0,1,518
"199","M",2011,1,0,1,0,42
"200","M",2011,1,1,0,0,945
"201","M",2012,0,0,0,1,2064
"202","M",2012,0,0,1,0,715
"203","M",2012,0,1,0,0,1709
"204","M",2012,1,0,0,0,8480
"205","M",2012,1,0,0,1,494
"206","M",2012,1,0,1,0,59
"207","M",2012,1,1,0,0,974
"208","M",2013,0,0,0,1,2041
"209","M",2013,0,0,1,0,872
"210","M",2013,0,1,0,0,1754
"211","M",2013,1,0,0,0,12688
"212","M",2013,1,0,0,1,478
"213","M",2013,1,1,0,0,1114
"214","M",2014,0,0,0,1,2092
"215","M",2014,0,0,1,0,1052
"216","M",2014,0,1,0,0,1958
"217","M",2014,1,0,0,0,11093
"218","M",2014,1,0,0,1,464
"219","M",2014,1,0,1,0,61
"220","M",2014,1,1,0,0,970
"221","M",2015,0,0,0,1,2017
"222","M",2015,0,0,1,0,1032
"223","M",2015,0,1,0,0,2010
"224","M",2015,1,0,0,0,14912
"225","M",2015,1,0,0,1,530
"226","M",2015,1,0,1,0,144
"227","M",2015,1,1,0,0,924
"228","M",2016,0,0,0,1,2073
"229","M",2016,0,0,1,0,667
"230","M",2016,0,1,0,0,1820
"231","M",2016,1,0,0,0,13563
"232","M",2016,1,0,0,1,360
"233","M",2016,1,0,1,0,66
"234","M",2016,1,1,0,0,1222
