"","Cod_setor","Cod_Grandes.Regiões","Nome_Grande_Regiao","Cod_UF","Nome_da_UF","Cod_meso","Nome_da_meso","Cod_micro","Nome_da_micro","Cod_RM","Nome_da_RM","Cod_municipio","Nome_do_municipio","Cod_distrito","Nome_do_distrito","Cod_subdistrito","Nome_do_subdistrito","Cod_bairro","Nome_do_bairro","Situacao_setor","Tipo_setor","V001","V002","V003","V004","V005","V006","V007","V008","V009","V010","V011","V012","X34"
"21",250970105000021,2,"Região Nordeste",25,"Paraiba",2502,"Borborema",25010,"Cariri Ocidental",0,"Municípios não pertencentes a estrutura de RM",2509701,"MONTEIRO",250970105,"MONTEIRO",25097010500,"MONTEIRO",2509701000,"MONTEIRO (todos os setores)",1,0,210,703,3.35,2.49,300.92,63292.93,355.02,55420.97,197.29,58725.65,350.45,50612.61,NA
"22",250970105000022,2,"Região Nordeste",25,"Paraiba",2502,"Borborema",25010,"Cariri Ocidental",0,"Municípios não pertencentes a estrutura de RM",2509701,"MONTEIRO",250970105,"MONTEIRO",25097010500,"MONTEIRO",2509701000,"MONTEIRO (todos os setores)",8,0,115,355,3.09,2.5,457.53,598154.8,482.72,619115.78,257.61,309004.79,408.48,429005.48,NA
"23",250970105000023,2,"Região Nordeste",25,"Paraiba",2502,"Borborema",25010,"Cariri Ocidental",0,"Municípios não pertencentes a estrutura de RM",2509701,"MONTEIRO",250970105,"MONTEIRO",25097010500,"MONTEIRO",2509701000,"MONTEIRO (todos os setores)",8,0,27,83,3.07,2.99,484.89,179649.03,595.09,153719.52,336.67,172283.56,523.71,169990.94,NA
"24",250970105000024,2,"Região Nordeste",25,"Paraiba",2502,"Borborema",25010,"Cariri Ocidental",0,"Municípios não pertencentes a estrutura de RM",2509701,"MONTEIRO",250970105,"MONTEIRO",25097010500,"MONTEIRO",2509701000,"MONTEIRO (todos os setores)",8,0,168,554,3.3,2.56,427.51,158707.01,460.39,155756.33,259.13,117962.03,387.5,126682.4,NA
"25",250970105000025,2,"Região Nordeste",25,"Paraiba",2502,"Borborema",25010,"Cariri Ocidental",0,"Municípios não pertencentes a estrutura de RM",2509701,"MONTEIRO",250970105,"MONTEIRO",25097010500,"MONTEIRO",2509701000,"MONTEIRO (todos os setores)",8,0,163,501,3.07,2.13,402.72,147006.25,465.55,140645.06,255.65,106266.55,412.25,106802.55,NA
"26",250970105000026,2,"Região Nordeste",25,"Paraiba",2502,"Borborema",25010,"Cariri Ocidental",0,"Municípios não pertencentes a estrutura de RM",2509701,"MONTEIRO",250970105,"MONTEIRO",25097010500,"MONTEIRO",2509701000,"MONTEIRO (todos os setores)",8,0,130,410,3.15,2.26,503.57,380017.78,559.52,391029.68,258.44,217532.04,471.81,296869.83,NA
"27",250970105000027,2,"Região Nordeste",25,"Paraiba",2502,"Borborema",25010,"Cariri Ocidental",0,"Municípios não pertencentes a estrutura de RM",2509701,"MONTEIRO",250970105,"MONTEIRO",25097010500,"MONTEIRO",2509701000,"MONTEIRO (todos os setores)",8,0,182,612,3.36,2.71,406.3,71447.9,420.15,68044.81,227.49,69392.52,359.78,62127.11,NA
"28",250970105000028,2,"Região Nordeste",25,"Paraiba",2502,"Borborema",25010,"Cariri Ocidental",0,"Municípios não pertencentes a estrutura de RM",2509701,"MONTEIRO",250970105,"MONTEIRO",25097010500,"MONTEIRO",2509701000,"MONTEIRO (todos os setores)",8,0,207,629,3.04,2.21,500.29,485309.38,525.69,496651.69,287.87,285793.3,445.61,372338.66,NA
"29",250970105000029,2,"Região Nordeste",25,"Paraiba",2502,"Borborema",25010,"Cariri Ocidental",0,"Municípios não pertencentes a estrutura de RM",2509701,"MONTEIRO",250970105,"MONTEIRO",25097010500,"MONTEIRO",2509701000,"MONTEIRO (todos os setores)",8,0,229,726,3.17,2.35,387.03,160809,420.04,160658.27,231.97,101789.42,360.39,111884.63,NA
"30",250970105000030,2,"Região Nordeste",25,"Paraiba",2502,"Borborema",25010,"Cariri Ocidental",0,"Municípios não pertencentes a estrutura de RM",2509701,"MONTEIRO",250970105,"MONTEIRO",25097010500,"MONTEIRO",2509701000,"MONTEIRO (todos os setores)",8,0,67,221,3.3,2.7,642.09,1548964.78,693.87,1639410.47,324.75,604641.1,524.39,873862.37,NA
